,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
33956,Jan-23,TURA,PHULBARI,193.83,OK,ACT,500,195.83,195.83,336.17,0,
33959,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,253.32,0,
33960,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33962,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33964,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33966,Jan-23,TURA,PHULBARI,630.7,OK,ACT,650,639.05,639.05,0,0,
33969,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33970,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33972,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1132.49,0,
33975,Jan-23,TURA,PHULBARI,171.7,OK,ACT,350,173.45,173.45,169.61,0,
33987,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,151.7,0,
33989,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,151.7,0,
33990,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33992,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,151.7,0,
33993,Jan-23,TURA,PHULBARI,234,OK,ACT,240,724,236.2,0,0,
33994,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1437.5,0,
33998,Jan-23,TURA,PHULBARI,128.54,OK,ACT,,130.24,130.24,268.71,0,
34000,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34001,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,98.96,0,
34004,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,104.89,0,
34008,Jan-23,TURA,PHULBARI,170,OK,ACT,,171.75,171.75,0,0,
34016,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34018,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34021,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34023,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34028,Jan-23,TURA,PHULBARI,131.25,OK,ACT,,132.5,132.5,0,0,
34030,Jan-23,TURA,PHULBARI,149.5,OK,ACT,,151,151,0,0,
34031,Jan-23,TURA,PHULBARI,170,OK,ACT,120,171.75,171.75,0,0,
34032,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1867.83,0,
34038,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34041,Jan-23,TURA,PHULBARI,120.3,OK,ACT,,121.4,121.4,0,0,
34042,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34044,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,3718.26,0,
34050,Jan-23,TURA,PHULBARI,149.56,OK,ACT,,151.06,151.06,5.54,0,
34051,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,55807.95,0,
34055,Jan-23,TURA,PHULBARI,155.95,OK,ACT,,246.3,157.5,283.92,0,
34062,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34063,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0.3,0,
34069,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34070,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34071,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34073,Jan-23,TURA,PHULBARI,160.94,OK,ACT,,162.24,162.24,2935.09,0,
34074,Jan-23,TURA,PHULBARI,432.95,OK,ACT,,437.7,437.7,398.9,0,
34078,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34079,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,58690.7,0,
34083,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34086,Jan-23,TURA,PHULBARI,100.1,OK,ACT,290,100.35,100.35,187.84,0,
34087,Jan-23,TURA,PHULBARI,172.87,OK,ACT,,174.17,174.17,3871.73,0,
34090,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34091,Jan-23,TURA,PHULBARI,131.57,OK,ACT,,132.82,132.82,31.99,0,
34092,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,55807.95,0,
34095,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34098,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34099,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34101,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0.91,0,
34102,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34104,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
